category	field	source_name	storage_slot	display_name	definition
acquisition	acq.pressure_sensor_temp	pressure_sensor_temp	t22	pressure sensor temp	Champ libre acquisition fourni par EcoTaxa, stocke dans t22.
acquisition	acq.camera_status	camera_status	t23	camera status	Champ libre acquisition fourni par EcoTaxa, stocke dans t23.
acquisition	acq.vprcl_status	vprcl_status	t24	vprcl status	Champ libre acquisition fourni par EcoTaxa, stocke dans t24.
acquisition	acq.vprcl_picture_number	vprcl_picture_number	t25	vprcl picture number	Champ libre acquisition fourni par EcoTaxa, stocke dans t25.
acquisition	acq.vprcl_framerate	vprcl_framerate	t26	vprcl framerate	Champ libre acquisition fourni par EcoTaxa, stocke dans t26.
acquisition	acq.raw_depth	raw_depth	t27	raw depth	Champ libre acquisition fourni par EcoTaxa, stocke dans t27.
acquisition	acq.depth_outlier	depth_outlier	t28	depth outlier	Champ libre acquisition fourni par EcoTaxa, stocke dans t28.
acquisition	acq.pixel_um_size	pixel_um_size	t29	pixel um size	Champ libre acquisition fourni par EcoTaxa, stocke dans t29.
process	process.footer_height_px	footer_height_px	t01	footer height px	Champ libre process fourni par EcoTaxa, stocke dans t01.
process	process.python_img_feats_library	python_img_feats_library	t02	python img feats library	Champ libre process fourni par EcoTaxa, stocke dans t02.
