Profile	Rawfilename	yyyy-mm-dd hh:mm	Project	Depth [m]	Sampled volume [L]	LPM (1-2 µm) [# l-1]	LPM (2-4 µm) [# l-1]	LPM (4-8 µm) [# l-1]	LPM (8-16 µm) [# l-1]	LPM (16-32 µm) [# l-1]	LPM (32-64 µm) [# l-1]	LPM (64-128 µm) [# l-1]	LPM (128-256 µm) [# l-1]	LPM (256-512 µm) [# l-1]	LPM (0.512-1.02 mm) [# l-1]	LPM (1.02-2.05 mm) [# l-1]	LPM (2.05-4.1 mm) [# l-1]	LPM (4.1-8.19 mm) [# l-1]	LPM (8.19-16.4 mm) [# l-1]	LPM (>16.4 mm) [# l-1]	LPM biovolume (1-2 µm) [mm3 l-1]	LPM biovolume (2-4 µm) [mm3 l-1]	LPM biovolume (4-8 µm) [mm3 l-1]	LPM biovolume (8-16 µm) [mm3 l-1]	LPM biovolume (16-32 µm) [mm3 l-1]	LPM biovolume (32-64 µm) [mm3 l-1]	LPM biovolume (64-128 µm) [mm3 l-1]	LPM biovolume (128-256 µm) [mm3 l-1]	LPM biovolume (256-512 µm) [mm3 l-1]	LPM biovolume (0.512-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-16.4 mm) [mm3 l-1]	LPM biovolume (>16.4 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
ips_007	HDR20180716135401	2018-07-16 13:54:01	uvp5_sn008_ips_amundsen_2018	147.5	124.74	0.0	0.0	0.0	0.0	0.0	0.0	12.610229276895945	6.461439794773129	1.8839185505852176	0.6814173480840148	0.024050024050024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0094860800055648	0.0284759333771409	0.0486907865300077	0.10798194293004	0.0161291730453184	0.0	0.0	0.0	0.0	0.05145844		0.00074524	145.87076000000002						0.0011810799999999				147.4			-1.3647240000000005			106.33558000000002																	
ips_007	HDR20180716135401	2018-07-16 13:54:01	uvp5_sn008_ips_amundsen_2018	152.5	85.14	0.0	0.0	0.0	0.0	0.0	0.0	12.661498708010337	6.236786469344609	2.2785999530185577	0.5520319473807845	0.0704721634954193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0095246475775504	0.0260049418119218	0.0601012265710255	0.0743100351364309	0.0824980429614843	0.0	0.0	0.0	0.0	0.06031088		0.00057536	150.81699999999995						0.0009185599999999				152.4			-1.3432520000000003			106.321124																	
ips_007	HDR20180716135401	2018-07-16 13:54:01	uvp5_sn008_ips_amundsen_2018	157.5	124.74	0.0	0.0	0.0	0.0	0.0	0.0	12.097162097162098	6.269039602372936	1.651434984768318	0.617283950617284	0.0400833734167067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0091001237942767	0.0275640950849544	0.0442159607838274	0.102098673363046	0.050050097754557	0.0	0.0	0.0	0.0	0.05402236		0.0004451599999999	155.76291999999998						0.00071168				157.4			-1.3218959999999995			106.338216																	
ips_007	HDR20180716135401	2018-07-16 13:54:01	uvp5_sn008_ips_amundsen_2018	162.5	120.78	0.0	0.0	0.0	0.0	0.0	0.0	11.508527901970524	5.6052326544129825	1.7055803941049843	0.6954793840039741	0.0331180659049511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0086573220856806	0.0235071516424503	0.0443939851840728	0.106886055757234	0.0446345106667885	0.0	0.0	0.0	0.0	0.0520324799999999		0.000345	160.70884						0.00055132				162.4			-1.314596			106.35332800000003																	
ips_007	HDR20180716135401	2018-07-16 13:54:01	uvp5_sn008_ips_amundsen_2018	167.5	114.84	0.0	0.0	0.0	0.0	0.0	0.0	11.25914315569488	5.6078021595262975	1.506443747823058	0.496342737722048	0.0609543712991988	0.0087077673284569	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008469721717488	0.0240926853650831	0.0418638668306867	0.085335279440532	0.0863157485115351	0.0412018996084041	0.0	0.0	0.0	0.04990028		0.00026552	165.65492000000003						0.00042432				167.4			-1.2665800000000005			106.357684																	
ips_007	HDR20180716135401	2018-07-16 13:54:01	uvp5_sn008_ips_amundsen_2018	172.5	129.69	0.0	0.0	0.0	0.0	0.0	0.0	11.635438352995603	5.597964376590331	1.727195620325391	0.4703523787493253	0.0308427789343819	0.0077106947335954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0087527908250295	0.0236744609071486	0.0411711429887605	0.0730595627622355	0.0312393357447675	0.0509116036739167	0.0	0.0	0.0	0.05092724		0.0002031599999999	170.60092						0.0003248				172.4			-1.295008			106.385548																	
ips_007	HDR20180716135401	2018-07-16 13:54:01	uvp5_sn008_ips_amundsen_2018	177.5	123.75	0.0	0.0	0.0	0.0	0.0	0.0	11.717171717171718	5.729292929292929	1.3656565656565656	0.5252525252525253	0.0727272727272727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0088142749752915	0.0248557887959581	0.0337188051919066	0.0897422083984239	0.0698476662148987	0.0	0.0	0.0	0.0	0.0504036		0.0001604	175.54676						0.0002466				177.4			-1.2667119999999998			106.395452																	
ips_007	HDR20180716135401	2018-07-16 13:54:01	uvp5_sn008_ips_amundsen_2018	182.5	125.73	0.0	0.0	0.0	0.0	0.0	0.0	12.670007158196134	5.8299530740475625	1.654338662212678	0.5885627932872027	0.0556748588244651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0095310480828396	0.0254198227853662	0.04221755179898	0.101822488579905	0.0652098409610841	0.0	0.0	0.0	0.0	0.04857012		0.0001313199999999	180.49188						0.00018164				182.4			-1.10586			106.405544																	
ips_007	HDR20180716135401	2018-07-16 13:54:01	uvp5_sn008_ips_amundsen_2018	187.5	125.73	0.0	0.0	0.0	0.0	0.0	0.0	10.864551022031335	5.527718126143323	1.6702457647339537	0.4056311142925316	0.0318142050425514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0081728886887376	0.0235107135869023	0.0413144636965659	0.0639322504188001	0.0264804951886772	0.0	0.0	0.0	0.0	0.04735556		8.640000000000001e-05	185.43780000000004						0.0001307999999999				187.4			-0.9905320000000002			106.42592																	
ips_007	HDR20180716135401	2018-07-16 13:54:01	uvp5_sn008_ips_amundsen_2018	192.5	127.71	0.0	0.0	0.0	0.0	0.0	0.0	10.03836817790306	5.496828752642706	1.4955759141805651	0.3367003367003367	0.0156604807767598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0075513903490535	0.0245661330216825	0.0388051008594429	0.0612424865507473	0.015654192271051	0.0	0.0	0.0	0.0	0.04683312		5.956000000000003e-05	190.38284						9.260000000000004e-05				192.4			-0.8583919999999999			106.43716																	
ips_007	HDR20180716135401	2018-07-16 13:54:01	uvp5_sn008_ips_amundsen_2018	197.5	131.67	0.0	0.0	0.0	0.0	0.0	0.0	11.331358699779754	5.961874382927015	1.572112098427888	0.531632110579479	0.0531632110579479	0.0075947444368497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0085240460611453	0.0253241002437501	0.0397482159825843	0.0971317310401819	0.0582428238993182	0.0391767718279717	0.0	0.0	0.0	0.04656128		3.996e-05	195.32831999999996						6.219999999999998e-05				197.4			-0.6961399999999999			106.44468800000004																	
ips_007	HDR20180716135401	2018-07-16 13:54:01	uvp5_sn008_ips_amundsen_2018	202.5	127.71	0.0	0.0	0.0	0.0	0.0	0.0	15.777934382585546	6.068436300994441	1.934069375929841	0.4619841829144155	0.0626419231070394	0.0078302403883799	0.0078302403883799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0118689949714064	0.0260896505207597	0.0486650643005931	0.0884611342916012	0.103118205751515	0.0506229033366428	0.900130561188324	0.0	0.0	0.04530612		2.452e-05	200.27308						3.752000000000001e-05				202.4			-0.547212			106.442216																	
ips_007	HDR20180716135401	2018-07-16 13:54:01	uvp5_sn008_ips_amundsen_2018	207.5	113.85	0.0	0.0	0.0	0.0	0.0	0.0	15.740008783487044	6.359244620114185	1.6600790513833994	0.4391743522178305	0.0351339481774264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0118404653341248	0.0267594379928742	0.0441563294711803	0.0717047144488756	0.0384250128915338	0.0	0.0	0.0	0.0	0.0464239999999999		1.244e-05	205.2186399999999						1.9199999999999996e-05				207.4			-0.3784400000000001			106.42502800000004																	
ips_007	HDR20180716135401	2018-07-16 13:54:01	uvp5_sn008_ips_amundsen_2018	212.5	160.38	0.0	0.0	0.0	0.0	0.0	0.0	18.1506422247163	6.846240179573513	1.814440703329592	0.4489337822671156	0.1122334455667789	0.062351914203766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0136538710371827	0.0289572993890737	0.0467880128735178	0.0647017497956891	0.16436255985993	0.697015554033225	0.0	0.0	0.0	0.04559008		2.36e-06	210.16312000000005						3.639999999999999e-06				212.4			-0.287552			106.443996																	
ips_007	HDR20180716135401	2018-07-16 13:54:01	uvp5_sn008_ips_amundsen_2018	217.5	188.1	0.0	0.0	0.0	0.0	0.0	0.0	20.26581605528974	6.889952153110048	1.7703349282296652	0.3880914407230197	0.0797448165869218	0.0318979266347687	0.0053163211057947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0152450164273191	0.0273767111769937	0.0476980684762979	0.061948450392969	0.116699168088367	0.397768802966276	0.247095865932964	0.0	0.0	0.0453591199999999		0.0	215.10808						0.0				217.4			-0.15898			106.41571999999998																	
ips_007	HDR20180716135401	2018-07-16 13:54:01	uvp5_sn008_ips_amundsen_2018	222.5	96.03	0.0	0.0	0.0	0.0	0.0	0.0	21.32666874934916	7.383109444965115	2.0410288451525567	0.2603353118817036	0.0520670623763407	0.0208268249505362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0160430458135417	0.0280534264695381	0.0545243199671672	0.03431879592598	0.0846712877645726	0.174267799064794	0.0	0.0	0.0	0.04485752		0.0	220.0520400000001						0.0				222.4			-0.070132			106.413244																	
ips_007	HDR20180716135401	2018-07-16 13:54:01	uvp5_sn008_ips_amundsen_2018	227.5	130.68	0.0	0.0	0.0	0.0	0.0	0.0	21.831955922865017	7.797673706764615	1.8595041322314048	0.5509641873278237	0.1300887664524028	0.0688705234159779	0.0076522803795531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0164231494935389	0.0316853706934298	0.0485209892876722	0.078471774969012	0.272187012185196	0.665558827688154	0.649047331127205	0.0	0.0	0.0459635199999999		0.0	224.99612000000008						0.0				227.4			-0.012672			106.41006000000002																	
ips_007	HDR20180716135401	2018-07-16 13:54:01	uvp5_sn008_ips_amundsen_2018	232.5	117.81	0.0	0.0	0.0	0.0	0.0	0.0	21.02537984890926	7.308377896613191	1.799507681860623	0.5687123334182158	0.0509294626941685	0.0169764875647228	0.0254647313470842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015816400401186	0.0294445615526892	0.046768523293507	0.0807488893852272	0.0622430975187248	0.201382324646402	1.67367216200527	0.0	0.0	0.04565568		0.0	229.94092						0.0				232.40000000000003			0.084544			106.39989600000004																	
ips_007	HDR20180716135401	2018-07-16 13:54:01	uvp5_sn008_ips_amundsen_2018	237.5	97.02	0.0	0.0	0.0	0.0	0.0	0.0	13.543599257884972	5.514326942898371	1.855287569573284	0.6905792620078335	0.0618429189857761	0.020614306328592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0101882101667251	0.0219126680379593	0.0528206564090029	0.119139084544927	0.120654152724617	0.15926857216597	0.0	0.0	0.0	0.04474556		0.0	234.8846						0.0				237.40000000000003			0.330924			106.45236400000002																	
ips_007	HDR20180716135401	2018-07-16 13:54:01	uvp5_sn008_ips_amundsen_2018	242.5	82.17	0.0	0.0	0.0	0.0	0.0	0.0	13.55725934039187	5.999756602166241	1.630765486187173	0.3650967506389193	0.0851892418157478	0.0851892418157478	0.0121698916879639	0.0121698916879639	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0101984860017395	0.0255653893783059	0.0478474089828472	0.04921983532628	0.160428488738642	1.01806547383277	0.79288166262342	4.9014148937791	0.0	0.04373164		0.0	239.82951999999997						0.0				242.40000000000003			0.456144			106.480108																	
ips_007	HDR20180716135401	2018-07-16 13:54:01	uvp5_sn008_ips_amundsen_2018	247.5	84.15	0.0	0.0	0.0	0.0	0.0	0.0	22.79263220439691	8.116458704693999	1.913250148544266	0.451574569221628	0.05941770647653	0.047534165181224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0171458208951412	0.0309237061062011	0.0507220542936847	0.0633075747075717	0.0833654078329781	0.535931897435353	0.0	0.0	0.0	0.0442345999999999		0.0	244.77272000000005						0.0				247.40000000000003			0.298168			106.43939199999996																	
