platform_name	platform_id	filename	cruise_name	cruise_number	cast_number	station	time (UTC)	latitude (degrees_north)	longitude (degrees_east)	PRES (decibars)	depth (m)	TE90 (degC)	PSAL (PSU)	OXYM (uM)	FLOR (ug/L)	NTRA (mmol/m^3)
Amundsen	7510846	1801_001.int.nc	BaySys-ArcticNet 2018	2018001	1	N01 (356)	2018-05-31T18:07:39Z	60.8307	-64.6823	30.0	29.713069092272256	-0.943	32.672	301.378	0.133	7.164
Amundsen	7510846	1801_001.int.nc	BaySys-ArcticNet 2018	2018001	1	N01 (356)	2018-05-31T18:07:39Z	60.8307	-64.6823	31.0	30.70343021553436	-0.941	32.674	301.292	0.16	7.555
Amundsen	7510846	1801_001.int.nc	BaySys-ArcticNet 2018	2018001	1	N01 (356)	2018-05-31T18:07:39Z	60.8307	-64.6823	32.0	31.69378653307919	-0.927	32.678	301.186	0.147	7.544
Amundsen	7510846	1801_001.int.nc	BaySys-ArcticNet 2018	2018001	1	N01 (356)	2018-05-31T18:07:39Z	60.8307	-64.6823	33.0	32.684138045055086	-0.914	32.683	301.11	0.155	7.997
Amundsen	7510846	1801_001.int.nc	BaySys-ArcticNet 2018	2018001	1	N01 (356)	2018-05-31T18:07:39Z	60.8307	-64.6823	34.0	33.674484751610386	-0.896	32.686	300.672	0.148	7.603
Amundsen	7510846	1801_001.int.nc	BaySys-ArcticNet 2018	2018001	1	N01 (356)	2018-05-31T18:07:39Z	60.8307	-64.6823	35.0	34.664826652893396	-0.882	32.692	300.868	0.147	7.111
Amundsen	7510846	1801_001.int.nc	BaySys-ArcticNet 2018	2018001	1	N01 (356)	2018-05-31T18:07:39Z	60.8307	-64.6823	36.0	35.65516374905244	-0.881	32.692	300.571	0.156	7.155
Amundsen	7510846	1801_001.int.nc	BaySys-ArcticNet 2018	2018001	1	N01 (356)	2018-05-31T18:07:39Z	60.8307	-64.6823	37.0	36.64549604023581	-0.878	32.692	300.656	0.143	8.445
Amundsen	7510846	1801_001.int.nc	BaySys-ArcticNet 2018	2018001	1	N01 (356)	2018-05-31T18:07:39Z	60.8307	-64.6823	38.0	37.63582352659186	-0.868	32.694	300.278	0.168	7.583
Amundsen	7510846	1801_001.int.nc	BaySys-ArcticNet 2018	2018001	1	N01 (356)	2018-05-31T18:07:39Z	60.8307	-64.6823	39.0	38.62614620826884	-0.861	32.698	299.735	0.146	6.892
Amundsen	7510846	1801_001.int.nc	BaySys-ArcticNet 2018	2018001	1	N01 (356)	2018-05-31T18:07:39Z	60.8307	-64.6823	40.0	39.61646408541508	-0.848	32.702	299.24	0.144	7.928
Amundsen	7510846	1801_001.int.nc	BaySys-ArcticNet 2018	2018001	1	N01 (356)	2018-05-31T18:07:39Z	60.8307	-64.6823	41.0	40.60677715817888	-0.839	32.704	299.209	0.163	8.811
Amundsen	7510846	1801_001.int.nc	BaySys-ArcticNet 2018	2018001	1	N01 (356)	2018-05-31T18:07:39Z	60.8307	-64.6823	42.0	41.59708542670851	-0.828	32.708	298.772	0.157	7.404
Amundsen	7510846	1801_001.int.nc	BaySys-ArcticNet 2018	2018001	1	N01 (356)	2018-05-31T18:07:39Z	60.8307	-64.6823	43.0	42.58738889115224	-0.808	32.715	298.448	0.159	7.197
Amundsen	7510846	1801_001.int.nc	BaySys-ArcticNet 2018	2018001	1	N01 (356)	2018-05-31T18:07:39Z	60.8307	-64.6823	44.0	43.577687551658414	-0.784	32.725	297.952	0.128	7.725
Amundsen	7510846	1801_001.int.nc	BaySys-ArcticNet 2018	2018001	1	N01 (356)	2018-05-31T18:07:39Z	60.8307	-64.6823	45.0	44.567981408375275	-0.771	32.73	297.505	0.168	8.055
Amundsen	7510846	1801_001.int.nc	BaySys-ArcticNet 2018	2018001	1	N01 (356)	2018-05-31T18:07:39Z	60.8307	-64.6823	46.0	45.55827046145109	-0.765	32.733	297.749	0.134	7.678
Amundsen	7510846	1801_001.int.nc	BaySys-ArcticNet 2018	2018001	1	N01 (356)	2018-05-31T18:07:39Z	60.8307	-64.6823	47.0	46.5485547110341	-0.763	32.734	297.602	0.133	7.28
Amundsen	7510846	1801_001.int.nc	BaySys-ArcticNet 2018	2018001	1	N01 (356)	2018-05-31T18:07:39Z	60.8307	-64.6823	48.0	47.53883415727265	-0.76	32.736	297.94	0.127	7.558
Amundsen	7510846	1801_001.int.nc	BaySys-ArcticNet 2018	2018001	1	N01 (356)	2018-05-31T18:07:39Z	60.8307	-64.6823	49.0	48.529108800314944	-0.741	32.746	297.775	0.139	7.873
Amundsen	7510846	1801_001.int.nc	BaySys-ArcticNet 2018	2018001	1	N01 (356)	2018-05-31T18:07:39Z	60.8307	-64.6823	50.0	49.51937864030926	-0.725	32.754	297.727	0.144	7.755
Amundsen	7510846	1801_001.int.nc	BaySys-ArcticNet 2018	2018001	1	N01 (356)	2018-05-31T18:07:39Z	60.8307	-64.6823	51.0	50.50964367740382	-0.717	32.76	297.416	0.138	7.176
